Old structure -Filename;Filename;id;Latex_Filename;CAS Number;Name ;bib_ref;Publication (latex);Model Type;Speicherort;memory location;Desc;Type;;;
stockmayer.pm;stockmayer.pm;;stockmayer.pm;-;-;;"[Hentschke,2007 ; Stockmayer, 1941]";1 L.J. Center & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;;;;;
SPC.pm;SPC.pm;;SPC.pm;7732-18-5;Water;;\parencite{Berendsen1981};1 L.J. Center & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\ok;pm\others;;;;;
SPCE.pm;SPC_E.pm;;SPC\_E.pm;7732-18-5;Water;;\parencite{Berendsen1987};1 L.J. Center & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\ok;pm\others;;;;;
Ar.pm;Ar.pm;1;Ar.pm;7440-37-1;Argon;0;\parencite{Vrabec2001};1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Ba.pm;Ba2+.pm;2;Ba2+.pm;22541-12-4;Barium ion (2+);0;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Be.pm;Be2+.pm;3;Be2+.pm;22537-20-8;Beryllium ion (2+);0;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Br_1.pm;Br-.pm;4;Br-.pm;24959-67-9;Bromine ion (1-);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
Br2.pm;Br2.pm;;Br2.pm;7726-95-6;Bromine;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CBrF2-CBrF2.pm;C2Br2F4.pm;;C2Br2F4.pm;124-73-2;1,2-Dibromotetrafluoroethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2Cl4.pm;C2Cl4.pm;;C2Cl4.pm;127-18-4;Tetrachloroethylene;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CFCl=CF2.pm;C2ClF3.pm;;C2ClF3.pm;79-38-9;Chlorotrifluoroethene;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2F4.pm;C2F4.pm;;C2F4.pm;116-14-3;Tetrafluoroethylene;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Br.pm;Br-_II.pm;;Br-\_II.pm;24959-67-9;Bromine ion (1-);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Cl.pm;Cl-_II.pm;;Cl-\_II.pm;16887-00-6;Chlorine ion (1-);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Cs.pm;Cs+_II.pm;;Cs+_II.pm;18459-37-5;Cesium ion (1+);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\others\delete - old name;-;Rigid;;;
F.pm;F-_II.pm;;F-\_II.pm;16984-48-8;Fluorine ion (1-);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
I.pm;I-_II.pm;;I-\_II.pm;20461-54-5;Iodide ion (1-);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
K.pm;K+_II.pm;;K+\_II.pm;24203-36-9;Potassium ion (1+);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\others\delete - old name;-;Rigid;;;
Li.pm;Li+_II.pm;;Li+\_II.pm;17341-24-1;Lithium ion (1+);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\others\delete - old name;-;Rigid;;;
Na.pm;Na+_I.pm;;Na+\_I.pm;17341-25-2;Sodium ion (1+);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\others\delete - old name;-;Rigid;;;
Rb.pm;Rb+_II.pm;;Rb+\_II.pm;22537-38-8;Rubidium ion (1+);;\parencite{Deublein2012_B};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\others\delete - old name;-;Rigid;;;
C2F6.pm;C2F6.pm;;C2F6.pm;76-16-4;Perfluoroethane;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2H2.pm;C2H2.pm;;C2H2.pm;74-86-2;Acetylene;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2F-CCl3.pm;C2H2Cl3F.pm;;C2H2Cl3F.pm;27154-33-2;Ethane, trichlorofluoro-;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CCl3-CH2Cl.pm;C2H2Cl4_I.pm;;C2H2Cl4\_I.pm;630-20-6;1,1,1,2-Tetrachloroethane;0;\parencite{Stoll2004};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2Cl-CCl3.pm;C2H2Cl4_II.pm;;C2H2Cl4\_II.pm;630-20-6;1,1,1,2-Tetrachloroethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CF2=CH2.pm;C2H2F2.pm;;C2H2F2.pm;75-38-7;1,1-Difluoroethene;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHCl=CH2.pm;C2H3Cl.pm;;C2H3Cl.pm;75-01-4;Vinyl chloride;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CCl3-CH3.pm;C2H3Cl3_a.pm;;C2H3Cl3\_a.pm;71-55-6;Methylchloroform;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHCl2-CH2Cl.pm;C2H3Cl3_b.pm;;C2H3Cl3\_b.pm;79-00-5;1,1,2-Trichloroethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHF=CH2.pm;C2H3F.pm;;C2H3F.pm;75-02-5;Vinyl fluoride;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2H3N.pm;C2H3N.pm;;C2H3N.pm;75-05-8;Acetonitrile;0;\parencite{Eckl2008_C};3 L.J. Centers & 1 Dipole & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2H3N_m6.pm;C2H3N_m6.pm;;C2H3N\_m6.pm;75-05-8;Acetonitrile;0;\parencite{Deublein2013};3 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2H3N_m8.pm;C2H3N_m8.pm;;C2H3N\_m8.pm;75-05-8;Acetonitrile;0;\parencite{Deublein2013};3 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2H4.pm;C2H4.pm;;C2H4.pm;74-85-1;Ethylene;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
FA.pm;FA.pm;;FA.pm;50-00-0;Formaldehyde;;\parencite{Eckl2008_C};2 L.J. Centers & 2 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
CH2Br-CH2Br.pm;C2H4Br2.pm;;C2H4Br2.pm;106-93-4;Ethylene dibromide;0;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHBr2-CH3.pm;C2H4Br3.pm;;C2H4Br3.pm;557-91-5;1,1-Dibromoethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHCl2-CH3.pm;C2H4Cl2.pm;;C2H4Cl2.pm;75-34-3;1,1-Dichloroethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
eox.pm;C2H4O_I.pm;;C2H4O\_I.pm;75-21-8;Ethylene oxide;0;\parencite{Eckl2008_A};3 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CO_D_pl.pm;CO_pl.pm;;CO\_pl.pm;630-08-0;Carbon monoxide;;\parencite{Engin2011};2 L.J. Centers & 2 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\no source;-;Rigid;;;
C2H4_pl.pm;C2H4_pl.pm;;C2H4\_pl.pm;74-85-1;Ethylene;;\parencite{Engin2011};2 L.J. Centers 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
N2_pl.pm;N2_pl.pm;;N2\_pl.pm;7727-37-9;Nitrogen;;\parencite{Engin2011};2 L.J. Centers 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
O2_pl.pm;O2_pl.pm;;O2\_pl.pm;7782-44-7;Oxygen;;\parencite{Engin2011};2 L.J. Centers 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
CH2Br-CH3.pm;C2H5Br.pm;;C2H5Br.pm;74-96-4;Ethyl bromide;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2F-CH3.pm;C2H5F.pm;;C2H5F.pm;353-36-6;Fluoroethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2H6_2CLJ.pm;C2H6_I.pm;;C2H6\_I.pm;74-84-0;Ethane;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\ok;-;Rigid;;;
C2H6.pm;C2H6_II.pm;;C2H6\_II.pm;74-84-0;Ethane;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Ethanol.pm;C2H6O.pm;;C2H6O.pm;64-17-5;Ethanol;0;\parencite{Schnabel2005};3 L.J. Centers & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\ok;pm\ok;-;Rigid;;;
C2H6O2.pm;C2H6O2.pm;;C2H6O2.pm;107-21-1;Ethylene glycol;0;\parencite{Huang2012};4 L.J. Centers & 6 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2H6S.pm;C2H6S_I.pm;;C2H6S\_I.pm;75-18-3;Dimethyl sulfide;0;\parencite{Eckl2008_C};3 L.J. Centers & 1 Dipole & 2 Quadrupoles ;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2H8N2.pm;C2H8N2.pm;;C2H8N2.pm;57-14-7;1,1-Dimethylhydrazine;0;\parencite{Elts2012};4 L.J. Centers & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHCl=CCl2.pm;C2HCl3.pm;;C2HCl3.pm;79-01-6;Trichloroethylene;0;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C2N2.pm;C2N2.pm;;C2N2.pm;460-19-5;Cyanogen;0;\parencite{Miroshnichenko2013};4 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Tip4p_orig.pm;Tip4p_orig.pm;;Tip4p\_orig.pm;7732-18-5;Water;;\parencite{Jorgensen1983};1 L.J. Center & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\keine_Qulle;pm\others;-;Rigid;;;
C3H4.pm;C3H4.pm;;C3H4.pm;463-49-0;Propadiene;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C3H6.pm;C3H6_a.pm;;C3H6\_a.pm;115-07-1;Propylene;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
cycC3.pm;C3H6_b.pm;;C3H6\_b.pm;75-19-4;Cyclopropane;0;\parencite{Munoz2015};3 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C4F10.pm;C4F10.pm;;C4F10.pm;355-25-9;Perfluorobutane;0;\parencite{Koester2012};14 L.J. Centers & 14 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Isobutan.pm;C4H10.pm;;C4H10.pm;75-28-5;Isobutane;0;\parencite{Eckl2008_C};4 L.J. Centers & 1 Dipole & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C4H4S.pm;C4H4S_I.pm;;C4H4S\_I.pm;110-02-1;Thiophene;0;\parencite{Eckl2008_C};5 L.J. Centers & 1 Dipole & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
cycC4.pm;C4H8.pm;;C4H8.pm;287-23-0;Cyclobutane;0;\parencite{Munoz2015};4 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
cycC5_dfg.pm;C5H10_dfg.pm;;C5H10\_dfg.pm;287-92-3;Cyclopentane;0;\parencite{Munoz2015};5 L.J. Centers ;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
cycC5_diff.pm;C5H10_diff.pm;;C5H10\_diff.pm;287-92-3;Cyclopentane;0;\parencite{Munoz2015};5 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
cycC6H10O.pm;C6H10O.pm;;C6H10O.pm;108-94-1;Cyclohexanone;0;\parencite{Merker2012};7 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
cycC6_dfg.pm;C6H12_dfg.pm;;C6H12\_dfg.pm;110-82-7;Cyclohexane;0;\parencite{Munoz2015};6 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
cycC6_diff.pm;C6H12_diff.pm;;C6H12\_diff.pm;110-82-7;Cyclohexane;0;\parencite{Munoz2015};6 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
cycC6H12_1.pm;C6H12_I.pm;;C6H12\_I.pm;110-82-7;Cyclohexane;0;\parencite{Eckl2008_C};6 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\ok;-;Rigid;;;
cycC6H12.pm;C6H12_II.pm;;C6H12\_II.pm;110-82-7;Cyclohexane;0;\parencite{Merker2012};6 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\ok;-;Rigid;;;
C6H12O_II.pm;C6H12O_II.pm;;C6H12O\_II.pm;108-93-0;Cyclohexanol;0;\parencite{Merker2009};7 L.J. Centers & 3 Charges 1 Quadrupole;pm\new order\unpublished;pm\ok;-;Rigid;;;
oCl2Ben4q1d.pm;C6H4Cl2.pm;;C6H4Cl2.pm;95-50-1;ortho-Dichlorobenzene;0;\parencite{Huang2011};8 L.J. Centers & 1 Dipole & 4 Quadrupoles;;pm\ok;-;Rigid;;;
ClBen5Q1D.pm;C6H5Cl.pm;;C6H5Cl.pm;108-90-7;Chlorobenzene;0;\parencite{Huang2011};7 L.J. Centers & 1 Dipole & 5 Quadrupoles;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
benz.pm;C6H6_I.pm;;C6H6\_ I.pm;71-43-2;Benzene;0;\parencite{Guevara-Carrion2016};6 L.J. Centers & 6 Quadrupoles;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CFCl2-CF2Cl.pm;C2Cl3F3.pm;;C2Cl3F3.pm;76-13-1;1,1,2-trichloro-1,2,2-trifluoro-Ethane;;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\others\delete - old name;-;Rigid;;;
C6H6.pm;C6H6_II.pm;;C6H6\_II.pm;71-43-2;Benzene;0;\parencite{Huang2011};6 L.J. Centers & 6 Quadrupoles;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
toluen.pm;C7H8_I.pm;;C7H8\_I.pm;108-88-3;Toluene;0;\parencite{Guevara-Carrion2016};7 L.J. Centers & 6 Quadrupoles;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Tol5Q1D.pm;C7H8_II.pm;;C7H8\_II.pm;108-88-3;Toluene;0;\parencite{Huang2011};7 L.J. Centers & 1 Dipole & 5 Quadrupoles;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Ca.pm;Ca2+.pm;;Ca2+.pm;17787-72-3;Calcium ion (2+);0;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CBr2F2.pm;CBr2F2.pm;;CBr2F2.pm;75-61-6;Dibromodifluoromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CBrCl3.pm;CBrCl3.pm;;CBrCl3.pm;75-62-7;Bromotrichloromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
